Years,REIT quarter,Nikkei 225 quarter,CPI quarter,Government Bond yield quarter,immediate saving rate quarter,property price quarter,GPIF quarter
2008/7/1,1.14%,-3.23%,4.1%,4.98%,2.25%,-1.34%,1.41%
2008/10/1,-1.36%,-39.97%,6.5%,4.44%,2.25%,-4.03%,-4.42%
2009/1/1,-3.49%,-6.44%,3.1%,4.07%,1.30%,-2.70%,6.09%
2009/4/1,-4.09%,10.69%,-0.4%,3.91%,0.90%,-1.50%,-1.08%
2009/7/1,-3.33%,16.44%,-3.0%,4.28%,0.90%,1.43%,3.89%
2009/10/1,-2.03%,-3.09%,-6.6%,4.03%,0.90%,-0.87%,1.06%
2010/1/1,-1.34%,2.68%,-6.1%,3.97%,0.90%,1.34%,1.47%
2010/4/1,-0.47%,8.52%,-3.5%,4.05%,0.90%,0.17%,1.29%
2010/7/1,-0.03%,-13.96%,-2.8%,3.65%,0.90%,0.60%,-2.94%
2010/10/1,0.32%,-3.08%,-2.4%,2.99%,0.90%,-0.14%,-1.53%
2011/1/1,0.59%,11.01%,0.3%,3.25%,0.90%,0.20%,0.62%
2011/4/1,1.12%,-3.44%,-1.6%,3.73%,0.90%,-0.46%,0.69%
2011/7/1,1.53%,-0.15%,-1.2%,3.50%,0.90%,0.63%,0.21%
2011/10/1,1.55%,-8.46%,0.4%,3.14%,0.90%,-1.37%,-3.32%
2012/1/1,1.52%,-1.81%,-0.9%,3.11%,0.90%,0.70%,0.58%
2012/4/1,1.54%,8.59%,0.9%,2.93%,0.90%,-1.07%,5.11%
2012/7/1,1.60%,-8.30%,0.4%,2.57%,0.90%,0.27%,-1.85%
2012/10/1,1.70%,2.66%,-1.1%,2.37%,0.90%,-0.33%,0.49%
2013/1/1,1.70%,23.00%,-0.7%,2.29%,0.90%,0.67%,4.83%
2013/4/1,2.17%,22.83%,-1.9%,1.98%,0.90%,1.10%,6.86%
2013/7/1,2.57%,-1.39%,-0.8%,2.32%,0.90%,1.03%,1.85%
2013/10/1,2.72%,5.04%,2.7%,2.21%,0.90%,-0.03%,2.71%
2014/1/1,2.89%,4.88%,4.2%,1.94%,0.90%,0.96%,4.73%
2014/4/1,3.09%,-4.11%,4.5%,1.86%,0.90%,-0.46%,-0.80%
2014/7/1,3.21%,8.94%,10.7%,1.77%,0.90%,0.63%,1.77%
2014/10/1,3.55%,5.08%,9.9%,1.56%,0.90%,-0.53%,2.87%
2015/1/1,4.01%,7.60%,7.7%,1.21%,0.90%,2.80%,5.16%
2015/4/1,4.08%,10.16%,6.9%,1.03%,0.90%,-0.34%,2.14%
2015/7/1,3.96%,5.48%,1.5%,1.19%,0.90%,1.00%,1.92%
2015/10/1,4.29%,-6.44%,0.4%,1.14%,0.90%,-1.46%,-5.59%
2016/1/1,4.39%,-8.09%,0.8%,0.88%,0.90%,2.50%,3.56%
2016/4/1,4.26%,-4.50%,0.1%,0.01%,0.90%,1.06%,-3.52%
2016/7/1,4.00%,0.17%,-1.2%,-0.42%,0.90%,-0.23%,-3.88%
2016/10/1,3.67%,5.26%,-1.4%,-0.31%,0.90%,-0.70%,1.84%
2017/1/1,3.70%,9.09%,0.9%,0.02%,0.90%,4.03%,7.98%
2017/4/1,3.79%,0.83%,0.9%,0.21%,0.90%,-0.93%,0.21%
2017/7/1,3.96%,3.77%,1.2%,0.15%,0.90%,0.23%,3.54%
2017/10/1,3.82%,10.35%,1.8%,0.15%,0.90%,-1.40%,2.97%
2018/1/1,3.54%,4.88%,1.8%,0.15%,0.90%,3.80%,3.92%
,,,,,,,
,,,,,,,
,,,,,,,
